citric acid;free sulfur dioxide;alcohol
0.63;7;10.9
0;9;10.9
0.06;38;10.55
0.33;27;9
0.4;8;10.5
0.35;7;11.9
0.09;34;10.4
0;6;10
0.03;14;10.4
0.01;14;10.8
0.1;34;9.7
0.1;34;9.7
0.32;31;10
0.08;19;11
0.32;31;10
0.05;20;9.7
0.11;8;9.7
0.08;8;12.6
0.6;23;11.1
0.08;14;11
0.5;48;8.8
0.11;16;13.5666666666667
0.5;48;8.8
0.11;16;13.6
0.05;3;10.2
0.6;10;10.6
0.03;6;10.1
0.6;10;10.6
0.54;3;10.3
0.44;6;10.7
0.06;4;10.9
0.16;8;9.7
0.21;9;10.3
0.05;9;10.6
0.04;5;11.4
0.1;4;10.8
0.49;8;12.4
0.04;5;11.4
0.06;6;11.95
0.26;23;9.7
0.09;15;10
0.02;15;10.6
0.26;23;9.7
0.03;7;11.5
0.04;7;10.8
0.03;7;11.5
0.04;8;9.6
0.29;21;9.4
0.18;15;9.8
0.39;6;11
0.57;5;11.4
0.02;6;9.95
0.05;6;10.8
0.57;5;11.4
0.6;17;10.6
0.4;7;11.1
0.21;26;9.7
0.04;19;9.8
0.04;11;10.4
0.15;17;10.5
0.21;16;9.23333333333333
0.21;16;9.25
0.25;23;10.6
0.06;29;10.3
0.46;7;10.5
0.08;14;10.2
0.06;29;10.3
0.2;9;9.05
0.25;23;10.6
0.25;29;10.4
0.19;22;10
0.08;18;9.7
0.08;18;9.6
0.07;15;10.8
0.49;21;10.1
0.08;42;10.2
0.09;9;11.3
0.1;13;10.2
0.13;18;9.9
0.3;32;9
0.14;13;11.7
0.13;15;9.7
0.08;24;10.3
0.08;20;10.2
0.09;15;12
0.32;34;9.9
0.08;11;11.6
0.29;19;10.9
0.02;29;10.75
0.42;14;10.4
0.43;12;11.2
0.33;16;10.1
0.02;17;10.2
0.1;12;12.1
0.5;19;10.4
0.3;17;11.4
0;17;9.5
0;18;9.4
0.01;32;11.3
0;18;9.4
0.02;15;11
0.17;15;10.55
0.04;12;9.9
0.02;15;11
0.33;66;9.5
0.26;31;9.9
0.26;31;9.9
0.26;31;9.9
0.13;12;10.1
0.13;12;10.1
0.13;12;10.1
0.02;26;10.9
0.64;24;11.2
0.13;12;10.1
0.13;25;9.2
0.14;15;11.5
0.53;19;12.4
0.14;15;11.1
0.32;35;9.5
0.2;15;12.5
0.78;23;10.5
0.4;12;11.8
0.63;16;10.8
0.15;13;11.9
0.15;13;11.3
0.09;24;11.3
0.33;9;11.9
0.09;24;11.3
0.1;13;11.9
0.29;32;9.8
0.44;24;11.6
0.44;22;11.5
0.41;34;11.4
0.11;18;10.9
0.33;34;12.8
0.2;29;9.2
0.15;26;11.6
0.09;16;11.6
0.13;29;11
0.08;28;9.5
0.08;32;10.5
0.1;39;11.2
0.13;29;11
0.12;32;10.2
0.47;18;11
